cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
2EXCEL AVIATION::B737,2EXCEL AVIATION,2Excel Aviation,B737,NA,regional,1,1,1,1,2025-05-05,2025-05-05,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ABY::A20N,ABY,Air Arabia,A20N,100-179,medium,1158,5,89,1158,2025-09-25,2025-12-27,0.7398444252376837,1157,206.0,0.0471872247732239,94,12.319148936170214,ok,0.9655172413793104,0.9122807017543859,0.8455140931502996,57.0,5.0,False,lcc,False,1.2533179438328126,-0.7670569752671165
ABY::A21N,ABY,Air Arabia,A21N,180-239,medium,25005,6,1306,24989,2022-06-01,2025-12-27,0.9849921959418898,24987,489.0,0.09216839363046969,1306,19.14624808575804,ok,0.9529096477794794,0.8494623655913979,0.7057082876786757,93.0,14.0,False,lcc,False,1.5620527033176987,-0.44608146890386563
ABY::A320,ABY,Air Arabia,A320,100-179,short,170216,37,1308,169832,2022-05-31,2025-12-28,0.9939088686636623,169755,1255.0,0.11372443010211064,1308,130.13455657492355,ok,0.9637526652452025,0.7095238095238094,0.7972513124540689,210.0,61.0,False,lcc,False,1.3953887256020514,-0.15178952466215875
ABY::A321,ABY,Air Arabia,A321,180-239,short,15433,3,1180,15427,2022-10-01,2025-12-27,0.9793841166936791,15425,413.0,0.03813593503884316,1184,13.034628378378379,ok,0.9662162162162162,0.9166666666666666,0.699251012200874,72.0,6.0,False,lcc,False,1.5654454705924956,-0.8760961252460058
ADAC LUFTRETTUNG GMBH::EC45,ADAC LUFTRETTUNG GMBH,ADAC Luftrettung GmbH,EC45,NA,regional,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ADY::A320,ADY,Air Arabia Abu Dhabi,A320,100-179,short,523,12,57,475,2022-09-09,2025-12-11,0.01910828025477707,471,100.0,0.0,1190,0.4394957983193277,ok,0.012670012779963304,0.8947368421052632,0.8952503214682522,38.0,4.0,False,,True,-1.2566969574595914,-0.4499644660936071
AEB::A320,AEB,Avion Express Brasil,A320,100-179,regional,13,1,8,10,2025-11-09,2026-02-26,0.0,9,9.0,0.013079204852045945,110,0.11818181818181818,ok,0.07272727272727272,0.4,0.8445412464587144,5.0,3.0,True,,True,-2.0300552563475445,0.184956739229608
AEE::A320,AEE,Aegean Airlines,A320,100-179,short,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AEROWAYS::C25A,AEROWAYS,Aeroways,C25A,NA,regional,619,1,343,619,2023-02-26,2026-04-28,0.19480519480519481,616,457.0,0.007012063648692779,1158,0.5345423143350605,ok,0.29620034542314333,0.2779291553133515,0.9428352787167618,367.0,265.0,False,,False,-1.6672555079290583,0.1429266078306221
AEZ::B737,AEZ,Aeroitalia,B737,100-179,regional,1275,1,193,1260,2025-07-21,2026-01-31,0.9841269841269841,1260,45.0,0.029499844245636342,195,6.538461538461538,ok,0.9897435897435898,0.5625,0.408107450215405,16.0,7.0,False,,False,0.9663367507869243,-0.5310050529573462
AEZ::B738,AEZ,Aeroitalia,B738,180-239,short,9,1,3,9,2022-06-25,2022-07-04,0.0,9,9.0,,10,0.9,short_series,0.3,0.125,0.9825675930733636,8.0,7.0,True,,True,,
AHY::A20N,AHY,Azerbaijan Airlines,A20N,180-239,short,685,1,204,684,2025-09-12,2026-04-22,0.8932748538011696,684,81.0,0.007957006030470892,223,3.071748878923767,ok,0.9147982062780269,0.9333333333333333,0.7897197812009721,30.0,2.0,False,fsc,False,1.332379251388673,-1.047633410289928
