cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
2EXCEL AVIATION::B737|NA|regional,2EXCEL AVIATION,2Excel Aviation,B737,NA,regional,1,1,1,1,2025-05-05,2025-05-05,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ABY::A20N|100-179|medium,ABY,Air Arabia,A20N,100-179,medium,1158,5,89,1158,2025-09-25,2025-12-27,0.7398444252376837,1157,206.0,0.0471872247732239,94,12.319148936170214,ok,0.9655172413793104,0.9122807017543859,0.8455140931502996,57.0,5.0,False,lcc,False,1.171040070100263,-0.683669917468846
ABY::A21N|180-239|medium,ABY,Air Arabia,A21N,180-239,medium,25005,6,1306,24989,2022-06-01,2025-12-27,0.9849921959418898,24987,489.0,0.09216839363046969,1306,19.14624808575804,ok,0.9529096477794794,0.8494623655913979,0.7057082876786757,93.0,14.0,False,lcc,False,1.4829762976818275,-0.33880489681686504
ABY::A320|100-179|medium,ABY,Air Arabia,A320,100-179,medium,161,2,44,161,2025-11-09,2025-12-27,0.6149068322981367,161,52.0,0.0,49,3.2857142857142856,ok,0.4489795918367347,0.9,0.708647502376246,20.0,2.0,False,lcc,True,0.09269139780339072,-0.7482102505895173
ABY::A320|100-179|short,ABY,Air Arabia,A320,100-179,short,170055,35,1308,169671,2022-05-31,2025-12-28,0.9939148790641178,169594,1253.0,0.11508078474087913,1308,130.01146788990826,ok,0.9648318042813455,0.7129186602870814,0.7979074844219814,209.0,60.0,False,lcc,False,1.3248778567889552,-0.025453207967720114
ABY::A321|180-239|short,ABY,Air Arabia,A321,180-239,short,15433,3,1180,15427,2022-10-01,2025-12-27,0.9793841166936791,15425,413.0,0.03813593503884316,1184,13.034628378378379,ok,0.9662162162162162,0.9166666666666666,0.699251012200874,72.0,6.0,False,lcc,False,1.49102268355184,-0.7834656058045707
ADAC LUFTRETTUNG GMBH::EC45|NA|regional,ADAC LUFTRETTUNG GMBH,ADAC Luftrettung GmbH,EC45,NA,regional,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ADY::A320|100-179|medium,ADY,Air Arabia Abu Dhabi,A320,100-179,medium,214,5,28,194,2022-10-06,2025-11-30,0.0,192,85.0,0.0,1152,0.1857638888888889,ok,0.016184971098265895,0.967741935483871,0.9216441703220862,31.0,1.0,True,,True,-1.2904632654100083,-0.5639889815116103
ADY::A320|100-179|short,ADY,Air Arabia Abu Dhabi,A320,100-179,short,309,7,39,281,2022-09-09,2025-12-11,0.025089605734767026,279,86.0,0.0,1190,0.2596638655462185,ok,0.011035653650254669,0.8857142857142857,0.8936941682518378,35.0,4.0,False,,True,-1.4078315104143027,-0.46445199315889185
AEB::A320|100-179|regional,AEB,Avion Express Brasil,A320,100-179,regional,13,1,8,10,2025-11-09,2026-02-26,0.0,9,9.0,0.013079204852045945,110,0.11818181818181818,ok,0.07272727272727272,0.4,0.8445412464587144,5.0,3.0,True,,True,-2.175028070243267,0.19798427975016883
AEE::A320|100-179|short,AEE,Aegean Airlines,A320,100-179,short,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AEROWAYS::C25A|NA|regional,AEROWAYS,Aeroways,C25A,NA,regional,619,1,343,619,2023-02-26,2026-04-28,0.19480519480519481,616,457.0,0.007012063648692779,1158,0.5345423143350605,ok,0.29620034542314333,0.2779291553133515,0.9428352787167618,367.0,265.0,False,,False,-1.7977990356463296,0.18753108619240338
AEZ::B737|100-179|regional,AEZ,Aeroitalia,B737,100-179,regional,1275,1,193,1260,2025-07-21,2026-01-31,0.9841269841269841,1260,45.0,0.029499844245636342,195,6.538461538461538,ok,0.9897435897435898,0.5625,0.408107450215405,16.0,7.0,False,,False,0.8900534196970925,-0.414967575213262
AEZ::B738|180-239|short,AEZ,Aeroitalia,B738,180-239,short,9,1,3,9,2022-06-25,2022-07-04,0.0,9,9.0,,10,0.9,short_series,0.3,0.125,0.9825675930733636,8.0,7.0,True,,True,,
AHY::A20N|180-239|short,AHY,Azerbaijan Airlines,A20N,180-239,short,685,1,204,684,2025-09-12,2026-04-22,0.8932748538011696,684,81.0,0.007957006030470892,223,3.071748878923767,ok,0.9147982062780269,0.9333333333333333,0.7897197812009721,30.0,2.0,False,fsc,False,1.2553782418787782,-0.9698307404702088
AHY::A319|100-179|short,AHY,Azerbaijan Airlines,A319,100-179,short,11773,3,1412,11750,2022-06-01,2026-04-22,0.9680715197956578,11745,460.0,0.013183034278087535,1422,8.279184247538678,ok,0.7827004219409283,0.9381443298969072,0.7480578613350727,97.0,6.0,False,fsc,False,1.180630733655698,-0.8970723045972424
AHY::A320|100-179|short,AHY,Azerbaijan Airlines,A320,100-179,short,26773,6,1424,26737,2022-05-31,2026-04-23,0.9876029962546816,26700,546.0,0.01028505681106251,1424,18.80126404494382,ok,0.7686095505617978,0.8230088495575221,0.6853764484408167,113.0,20.0,False,fsc,False,0.9772797343542096,-0.7714257021819735
AHY::A320|180-239|short,AHY,Azerbaijan Airlines,A320,180-239,short,3868,5,419,3868,2025-02-26,2026-04-22,0.9896587383660806,3868,80.0,0.19557935738652676,421,9.187648456057007,ok,0.8636363636363636,1.0,0.894803801868989,23.0,0.0,False,fsc,False,1.8545494386925157,0.1958836314341345
AHY::B763|180-239|regional,AHY,Azerbaijan Airlines,B763,180-239,regional,91,1,83,83,2022-06-06,2025-08-05,0.6385542168674698,83,27.0,0.004615740047213768,1157,0.07865168539325842,ok,0.07173725151253241,0.7777777777777778,0.9399183165032601,9.0,2.0,False,fsc,True,-0.6464953028610408,-0.4140118868898662
AHY::B763|180-239|short,AHY,Azerbaijan Airlines,B763,180-239,short,5991,2,1359,5982,2022-06-01,2026-04-22,0.9590026773761714,5976,224.0,0.021282243415884028,1422,4.213080168776371,ok,0.6979606188466948,0.9166666666666666,0.5918980144319002,48.0,4.0,False,fsc,False,1.0212006112389653,-0.7806145091094039
AHY::B788|180-239|short,AHY,Azerbaijan Airlines,B788,180-239,short,6842,2,1343,6838,2022-06-02,2026-04-22,0.9742577153722393,6837,140.0,0.08510872057886998,1421,4.814919071076707,ok,0.7586206896551724,0.972972972972973,0.5051534216486913,37.0,1.0,False,fsc,False,1.377324433296274,-0.4553514736238938
AHY::E190|100-179|regional,AHY,Azerbaijan Airlines,E190,100-179,regional,19698,5,907,19684,2023-10-29,2026-04-22,0.9893795416433762,19679,310.0,0.05292398700707546,907,21.717750826901874,ok,0.7420066152149944,0.8857142857142857,0.5446595795274021,70.0,8.0,False,fsc,False,1.1467503163259434,-0.5559576769267395
AIRBUS FLIGHT ACADEMY EUROPE::SR20|NA|regional,AIRBUS FLIGHT ACADEMY EUROPE,Airbus Flight Academy Europe,SR20,NA,regional,2,2,2,2,2023-07-26,2025-03-27,0.0,1,1.0,0.0,611,0.0032733224222585926,ok,0.0016366612111292963,,,,,True,,True,,
AIRBUS FLIGHT ACADEMY EUROPE::SR22|NA|regional,AIRBUS FLIGHT ACADEMY EUROPE,Airbus Flight Academy Europe,SR22,NA,regional,34,7,27,34,2022-07-04,2025-07-15,0.0,5,3.0,0.004710431990203712,1108,0.030685920577617327,ok,0.0009025270758122744,,,,,True,,True,,
AIR KG::B350|NA|regional,AIR KG,Air KG,B350,NA,regional,1,1,1,1,2024-03-28,2024-03-28,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
AIRONE GMBH::C68A|NA|short,AIRONE GMBH,Airone GmbH,C68A,NA,short,1,1,1,0,2024-11-03,2024-11-03,0.0,,,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AIR PEACE HOPPER::E145|20-99|regional,AIR PEACE HOPPER,Air Peace Hopper,E145,20-99,regional,355,1,165,225,2022-06-17,2026-02-20,0.49122807017543857,171,69.0,0.004157791096910501,1345,0.26394052044609667,ok,0.12267657992565056,0.75,0.8196861353536218,28.0,7.0,False,,False,-0.8238482990676279,-0.38290859611622774
AIZ::A21N|180-239|short,AIZ,Arkia,A21N,180-239,short,4,2,2,4,2022-06-13,2023-06-15,0.0,4,4.0,0.0,368,0.010869565217391304,ok,0.002717391304347826,1.0,1.0,2.0,0.0,True,,True,-1.2539404309042577,-0.5981133378726823
AIZ::E195|100-179|short,AIZ,Arkia,E195,100-179,short,10,2,6,10,2022-06-07,2023-04-04,0.0,10,8.0,0.0108077202881659,302,0.033112582781456956,ok,0.009933774834437087,1.0,0.9609640474436812,4.0,0.0,True,,True,-1.218590252797048,-0.5296606351429516
AJK::B738|NA|regional,AJK,Allied Air Cargo,B738,NA,regional,4,1,4,4,2023-07-08,2025-05-12,0.0,4,4.0,0.0,675,0.005925925925925926,ok,0.005925925925925926,0.0,1.0,4.0,4.0,True,,True,-3.0091378727634654,0.6317114068727941
AKJ::B38M|180-239|long,AKJ,Akasa Air,B38M,180-239,long,4,2,4,4,2026-03-26,2026-03-29,0.0,4,4.0,,4,1.0,short_series,0.5,0.33333333333333337,0.946394630357186,3.0,2.0,True,lcc,True,,
AKJ::B38M|180-239|short,AKJ,Akasa Air,B38M,180-239,short,157890,35,1341,157383,2022-06-17,2026-03-29,0.9878505921961216,157127,1714.0,0.05207365756490023,1382,114.24746743849494,ok,0.951530612244898,0.7453703703703703,0.7281245510568736,216.0,55.0,False,lcc,False,1.210771939841862,-0.4755481104592071
AKT::B737|100-179|regional,AKT,Canadian North,B737,100-179,regional,3,2,3,3,2023-12-28,2025-03-05,0.0,3,3.0,0.0,434,0.0069124423963133645,ok,0.003456221198156682,0.0,0.9999999999999998,3.0,3.0,True,,True,-3.0128517290400976,0.6327365777089754
AKT::B737|100-179|short,AKT,Canadian North,B737,100-179,short,1,1,1,1,2024-06-25,2024-06-25,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ALAMAN AIR::CRJ2|NA|short,ALAMAN AIR,Alaman Air,CRJ2,NA,short,16,1,15,14,2022-06-17,2023-12-05,0.7857142857142857,14,3.0,0.04461557542728023,537,0.0297951582867784,ok,0.027932960893854747,0.6666666666666667,0.5970948432879916,3.0,1.0,False,,True,-0.6134587398102249,-0.015653726508144658
ALASKA AIR TRANSIT::PC12|NA|regional,ALASKA AIR TRANSIT,Alaska Air Transit,PC12,NA,regional,72,1,30,72,2022-06-10,2022-12-07,0.0,67,63.0,0.0,181,0.39779005524861877,ok,0.16574585635359115,0.26086956521739135,0.9415668975108638,46.0,34.0,True,,True,-2.309669948096616,0.24419909879205454
ALEX JETS SAN MARINO SRL::CL60|NA|short,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,CL60,NA,short,266,1,168,0,2025-01-02,2026-02-09,0.0,,,0.0025590489580268327,404,0.6584158415841584,ok,0.4158415841584158,0.4227642276422764,0.9298686186957843,123.0,71.0,True,,False,-1.6428457186506547,-0.042015468533884326
ALEX JETS SAN MARINO SRL::GL7T|NA|short,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,GL7T,NA,short,34,1,20,0,2025-10-31,2026-02-09,0.0,,,0.0,102,0.3333333333333333,ok,0.19607843137254902,0.35,0.9280328183952423,20.0,13.0,True,,True,-2.10718531920769,0.12187456777856966
ALEX JETS SAN MARINO SRL::GLEX|NA|medium,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,GLEX,NA,medium,129,1,88,0,2025-06-24,2026-02-10,0.0,,,0.009840833719175102,232,0.5560344827586207,ok,0.3793103448275862,0.24444444444444446,0.9719949931198395,90.0,68.0,True,,True,-1.9951209217237333,0.24082695786998135
ALEX JETS SAN MARINO SRL::GLF5|NA|short,ALEX JETS SAN MARINO SRL,Alex Jets San Marino SRL,GLF5,NA,short,105,1,70,0,2025-07-12,2026-02-10,0.0,,,0.00924768969100187,214,0.49065420560747663,ok,0.32710280373831774,0.29850746268656714,0.9552310922515902,67.0,47.0,True,,True,-1.9798212024029551,0.19201700433328364
ALIDAUNIA::A169|NA|regional,ALIDAUNIA,Alidaunia,A169,NA,regional,6,1,1,0,2026-01-12,2026-01-12,0.0,,,,1,6.0,short_series,1.0,,,,,True,,True,,
ALPINE AIR ALASKA::R44|NA|regional,ALPINE AIR ALASKA,Alpine Air Alaska,R44,NA,regional,1,1,1,1,2024-07-20,2024-07-20,0.0,1,1.0,,1,1.0,short_series,1.0,,,,,True,,True,,
ALW::E145|20-99|regional,ALW,Fly ALS,E145,20-99,regional,1,1,1,1,2025-06-15,2025-06-15,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
AMC AVIATION::A320|NA|short,AMC AVIATION,AMC Aviation,A320,NA,short,265,2,114,213,2023-01-03,2026-03-29,0.6995305164319249,213,77.0,0.04070655356787689,1182,0.22419627749576987,ok,0.05414551607445008,0.515625,0.8222436328298031,64.0,31.0,False,,False,-0.9680912356435346,0.14590908963892915
AMC AVIATION::A321|NA|short,AMC AVIATION,AMC Aviation,A321,NA,short,82,1,48,70,2023-06-03,2026-01-12,0.7142857142857143,70,20.0,0.1128962869395923,955,0.08586387434554973,ok,0.050261780104712044,0.4444444444444444,0.5329433495670137,18.0,10.0,False,,True,-0.9151406478057883,0.7102801939131052
AME::CL2T|lt20|regional,AME,Spanish Air Force,CL2T,lt20,regional,1,1,1,1,2025-02-24,2025-02-24,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
APEX AVIATION LLC::PC12|NA|regional,APEX AVIATION LLC,Apex Aviation LLC,PC12,NA,regional,190,1,98,181,2022-06-02,2023-01-21,0.09497206703910614,179,133.0,0.0,234,0.811965811965812,ok,0.4188034188034188,0.7,0.9235962313728633,60.0,18.0,False,,True,-1.0247282922484076,-0.41506995225364507
APJ::A20N|180-239|regional,APJ,Peach Aviation,A20N,180-239,regional,1,1,1,0,2022-10-23,2022-10-23,0.0,,,,1,1.0,short_series,1.0,,,,,True,,True,,
APK::B733|100-179|regional,APK,Air Peace,B733,100-179,regional,609,2,289,540,2022-07-08,2026-02-26,0.5668662674650699,501,162.0,0.0,1330,0.45789473684210524,ok,0.10864661654135338,0.7380952380952381,0.7198201332870369,42.0,11.0,False,,False,-0.7705750184888297,-0.40073563359350245
APK::B737|100-179|regional,APK,Air Peace,B737,100-179,regional,542,1,88,541,2025-11-27,2026-02-26,0.8288973384030418,526,75.0,0.011604476056529034,92,5.891304347826087,ok,0.9565217391304348,1.0,0.7363467668505363,17.0,0.0,False,,False,1.3545694717569674,-1.0359043751596542
APK::B772|ge240|medium,APK,Air Peace,B772,ge240,medium,1649,2,735,1637,2022-09-07,2026-02-26,0.8853068815871048,1613,167.0,0.009444157477188742,1269,1.2994483845547675,ok,0.41712357391917265,0.725,0.5665893616072828,40.0,11.0,False,,False,0.13265755158493575,-0.4957845180502005
APK::B773|ge240|medium,APK,Air Peace,B773,ge240,medium,1274,1,675,1266,2022-06-25,2026-02-21,0.7951417004048583,1235,242.0,0.017258774155971324,1338,0.9521674140508222,ok,0.5044843049327354,0.725,0.5638347696281789,40.0,11.0,False,,False,0.15687515566757987,-0.46748736643476096
APK::E190|20-99|regional,APK,Air Peace,E190,20-99,regional,388,2,74,388,2025-08-06,2026-02-26,0.7081081081081081,370,79.0,0.0,205,1.8926829268292682,ok,0.21260162601626015,0.7777777777777778,0.7704280234077804,27.0,6.0,False,,False,-0.34880861954893866,-0.5129489635014267
APK::E195|100-179|regional,APK,Air Peace,E195,100-179,regional,301,1,144,107,2025-08-16,2026-02-26,0.4819277108433735,83,38.0,0.0004581715332265812,195,1.5435897435897437,ok,0.7384615384615385,0.6875,0.6869823643948583,16.0,5.0,False,,False,-0.02911946756314614,-0.584699848707509
APK::E295|100-179|regional,APK,Air Peace,E295,100-179,regional,9459,3,869,9434,2022-06-01,2026-02-26,0.9745016226240149,8628,326.0,0.034280582220787226,1367,6.91953182150695,ok,0.42355523043160204,0.8548387096774194,0.7602146241667106,62.0,9.0,False,,False,0.5506686302583998,-0.5068765816250836
ARE::A320|180-239|regional,ARE,LATAM Airlines Colombia,A320,180-239,regional,11921,17,126,11919,2024-04-07,2024-08-10,0.8843023743602652,11919,1966.0,0.04037311940638588,126,94.61111111111111,ok,0.9126984126984127,0.9493670886075949,0.7459657256726474,79.0,4.0,False,fsc,False,1.341494094077827,-0.7731175131057454
ARE::A320|180-239|short,ARE,LATAM Airlines Colombia,A320,180-239,short,370,1,71,370,2024-04-07,2024-08-09,0.043243243243243246,370,226.0,0.055429102795663265,125,2.96,ok,0.568,0.9333333333333333,0.8911759032930682,30.0,2.0,False,fsc,False,-0.33569292383004934,-0.3904372219415742
ARKLA AVIATION LLC::BE58|NA|regional,ARKLA AVIATION LLC,Arkla Aviation LLC,BE58,NA,regional,2,1,1,2,2023-02-10,2023-02-10,0.0,2,2.0,,1,2.0,short_series,1.0,0.0,1.0,2.0,2.0,True,,True,,
ASL::A319|100-179|regional,ASL,Air Serbia,A319,100-179,regional,1,1,1,1,2026-01-12,2026-01-12,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
ASV::A321|180-239|regional,ASV,Air Seoul,A321,180-239,regional,2,1,2,2,2023-04-19,2023-04-23,0.0,2,2.0,,5,0.4,short_series,0.4,0.0,0.0,1.0,1.0,True,,True,,
ASV::A321|180-239|short,ASV,Air Seoul,A321,180-239,short,1,1,1,1,2023-04-22,2023-04-22,0.0,1,1.0,,1,1.0,short_series,1.0,0.0,0.0,1.0,1.0,True,,True,,
